iter	Passed	Remaining
596	3984	2689
597	3990	2682
598	3997	2676
599	4003	2668
600	4010	2662
601	4015	2654
602	4021	2647
603	4027	2640
604	4033	2633
605	4040	2626
606	4045	2619
607	4051	2611
608	4058	2605
609	4063	2598
610	4069	2590
611	4076	2584
612	4081	2576
613	4088	2570
614	4093	2562
615	4099	2555
616	4106	2548
617	4113	2542
618	4118	2535
619	4125	2528
620	4131	2521
621	4138	2515
622	4144	2508
623	4150	2500
624	4157	2494
625	4162	2486
626	4168	2479
627	4174	2472
628	4180	2465
629	4186	2458
630	4192	2451
631	4197	2443
632	4204	2437
633	4209	2430
634	4215	2423
635	4223	2416
636	4229	2410
637	4236	2403
638	4242	2396
639	4248	2389
640	4255	2383
641	4260	2375
642	4266	2368
643	4272	2361
644	4278	2354
645	4285	2348
646	4290	2340
647	4295	2333
648	4303	2327
649	4309	2320
650	4315	2313
651	4323	2307
652	4328	2300
653	4335	2293
654	4341	2286
655	4346	2279
656	4353	2272
657	4358	2265
658	4364	2258
659	4370	2251
660	4376	2244
661	4382	2237
662	4388	2230
663	4393	2223
664	4400	2216
665	4406	2209
666	4411	2202
667	4418	2196
668	4424	2189
669	4430	2182
670	4437	2175
671	4443	2168
672	4450	2162
673	4456	2155
674	4461	2148
675	4467	2141
676	4473	2134
677	4479	2127
678	4485	2120
679	4491	2113
680	4498	2107
681	4503	2099
682	4509	2092
683	4516	2086
684	4522	2079
685	4527	2072
686	4536	2067
687	4542	2060
688	4549	2053
689	4556	2047
690	4561	2039
691	4567	2032
692	4573	2026
693	4579	2019
694	4584	2011
695	4591	2005
696	4597	1998
697	4602	1991
698	4609	1984
699	4614	1977
700	4620	1970
701	4626	1964
702	4632	1957
703	4638	1950
704	4645	1944
705	4651	1936
706	4658	1930
707	4663	1923
708	4670	1916
709	4676	1909
710	4681	1902
711	4688	1896
712	4694	1889
713	4699	1882
714	4708	1876
715	4713	1869
716	4720	1863
717	4726	1856
718	4731	1849
719	4739	1843
720	4746	1836
721	4752	1829
722	4757	1822
723	4763	1815
724	4769	1809
725	4775	1802
726	4780	1795
727	4787	1788
728	4792	1781
729	4798	1774
730	4805	1768
731	4811	1761
732	4817	1754
733	4823	1747
734	4828	1740
735	4834	1734
736	4840	1727
737	4845	1720
738	4852	1713
739	4859	1707
740	4865	1700
741	4871	1693
742	4877	1686
743	4883	1680
744	4888	1673
745	4894	1666
746	4900	1659
747	4906	1652
748	4911	1645
749	4920	1640
750	4925	1633
751	4932	1626
752	4937	1619
753	4942	1612
754	4949	1606
755	4956	1599
756	4962	1592
757	4968	1586
758	4974	1579
759	4981	1572
760	4986	1566
761	4992	1559
762	4999	1552
763	5004	1546
764	5010	1539
765	5017	1532
766	5023	1525
767	5028	1519
768	5034	1512
769	5040	1505
770	5046	1499
771	5052	1492
772	5057	1485
773	5065	1479
774	5072	1472
775	5078	1465
776	5084	1459
777	5089	1452
778	5096	1445
779	5101	1438
780	5107	1432
781	5114	1425
782	5119	1418
783	5125	1412
784	5132	1405
785	5137	1398
786	5143	1391
787	5149	1385
788	5154	1378
789	5161	1371
790	5168	1365
791	5174	1358
792	5181	1352
793	5186	1345
794	5192	1338
795	5198	1332
796	5204	1325
797	5210	1319
798	5216	1312
799	5221	1305
800	5228	1298
801	5233	1292
802	5239	1285
803	5246	1278
804	5251	1272
805	5257	1265
806	5263	1258
807	5269	1252
808	5276	1245
809	5283	1239
810	5289	1232
811	5295	1226
812	5301	1219
813	5307	1212
814	5313	1206
815	5318	1199
816	5325	1192
817	5332	1186
818	5337	1179
819	5343	1173
820	5349	1166
821	5355	1159
822	5361	1153
823	5366	1146
824	5372	1139
825	5380	1133
826	5385	1126
827	5392	1120
828	5398	1113
829	5403	1106
830	5410	1100
831	5415	1093
832	5421	1086
833	5427	1080
834	5432	1073
835	5439	1067
836	5444	1060
837	5450	1053
838	5458	1047
839	5463	1040
840	5469	1034
841	5475	1027
842	5481	1020
843	5487	1014
844	5495	1008
845	5501	1001
846	5508	995
847	5513	988
848	5520	981
849	5525	975
850	5531	968
851	5537	961
852	5542	955
853	5548	948
854	5555	942
855	5560	935
856	5566	928
857	5573	922
858	5578	915
859	5584	909
860	5592	902
861	5597	896
862	5605	889
863	5610	883
864	5616	876
865	5622	870
866	5628	863
867	5634	856
868	5640	850
869	5646	843
870	5652	837
871	5658	830
872	5663	823
873	5670	817
874	5675	810
875	5681	804
876	5687	797
877	5693	791
878	5699	784
879	5707	778
880	5713	771
881	5720	765
882	5725	758
883	5731	752
884	5737	745
885	5743	738
886	5750	732
887	5756	725
888	5761	719
889	5768	712
890	5773	706
891	5779	699
892	5786	693
893	5791	686
894	5798	680
895	5805	673
896	5811	667
897	5818	660
898	5823	654
899	5829	647
900	5835	641
901	5841	634
902	5848	628
903	5854	621
904	5860	615
905	5866	608
906	5872	602
907	5878	595
908	5884	589
909	5890	582
910	5897	576
911	5903	569
912	5908	563
913	5916	556
914	5923	550
915	5930	543
916	5935	537
917	5941	530
918	5948	524
919	5953	517
920	5959	511
921	5966	504
922	5971	498
923	5978	491
